date,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8,bin_9,bin_10,bin_11,bin_12,bin_13,bin_14,bin_15,bin_16,bin_17,bin_18,bin_19,bin_20
1980-01-22,112.49,112.49,112.49,112.49,112.49,112.49,112.49,112.49,112.49,112.49,112.49,112.49,112.49,112.49,112.49,112.49,112.49,112.49,112.49,112.49
1980-01-23,112.48,112.48,112.48,112.48,112.48,112.48,112.48,112.48,112.48,112.48,112.48,112.48,112.48,112.48,112.48,112.48,112.48,112.48,112.48,112.48
1980-01-24,112.47,112.47,112.47,112.47,112.47,112.47,112.47,112.47,112.47,112.47,112.47,112.47,112.47,112.47,112.47,112.47,112.47,112.47,112.47,112.47
1980-01-25,112.46,112.46,112.46,112.46,112.46,112.46,112.46,112.46,112.46,112.46,112.46,112.46,112.46,112.46,112.46,112.46,112.46,112.46,112.46,112.46
1980-01-26,112.45,112.45,112.45,112.45,112.45,112.45,112.45,112.45,112.45,112.45,112.45,112.45,112.45,112.45,112.45,112.45,112.45,112.45,112.45,112.45
1980-01-27,112.44,112.44,112.44,112.44,112.44,112.44,112.44,112.44,112.44,112.44,112.44,112.44,112.44,112.44,112.44,112.44,112.44,112.44,112.44,112.44
1980-01-28,112.43,112.43,112.43,112.43,112.43,112.43,112.43,112.43,112.43,112.43,112.43,112.43,112.43,112.43,112.43,112.43,112.43,112.43,112.43,112.43
1980-01-29,112.42,112.42,112.42,112.42,112.42,112.42,112.42,112.42,112.42,112.42,112.42,112.42,112.42,112.42,112.42,112.42,112.42,112.42,112.42,112.42
1980-01-30,112.41,112.41,112.41,112.41,112.41,112.41,112.41,112.41,112.41,112.41,112.41,112.41,112.41,112.41,112.41,112.41,112.41,112.41,112.41,112.41
1980-01-31,112.40,112.40,112.40,112.40,112.40,112.40,112.40,112.40,112.40,112.40,112.40,112.40,112.40,112.40,112.40,112.40,112.40,112.40,112.40,112.40
1980-02-01,112.39,112.39,112.39,112.39,112.39,112.39,112.39,112.39,112.39,112.39,112.39,112.39,112.39,112.39,112.39,112.39,112.39,112.39,112.39,112.39
1980-02-02,112.39,112.39,112.39,112.39,112.39,112.39,112.39,112.39,112.39,112.39,112.39,112.39,112.39,112.39,112.39,112.39,112.39,112.39,112.39,112.39
1980-02-03,112.38,112.38,112.38,112.38,112.38,112.38,112.38,112.38,112.38,112.38,112.38,112.38,112.38,112.38,112.38,112.38,112.38,112.38,112.38,112.38
1980-02-04,112.37,112.37,112.37,112.37,112.37,112.37,112.37,112.37,112.37,112.37,112.37,112.37,112.37,112.37,112.37,112.37,112.37,112.37,112.37,112.37
1980-02-05,112.36,112.36,112.36,112.36,112.36,112.36,112.36,112.36,112.36,112.36,112.36,112.36,112.36,112.36,112.36,112.36,112.36,112.36,112.36,112.36
1980-02-06,112.35,112.35,112.35,112.35,112.35,112.35,112.35,112.35,112.35,112.35,112.35,112.35,112.35,112.35,112.35,112.35,112.35,112.35,112.35,112.35
1980-02-07,112.34,112.34,112.34,112.34,112.34,112.34,112.34,112.34,112.34,112.34,112.34,112.34,112.34,112.34,112.34,112.34,112.34,112.34,112.34,112.34
1980-02-08,112.33,112.33,112.33,112.33,112.33,112.33,112.33,112.33,112.33,112.33,112.33,112.33,112.33,112.33,112.33,112.33,112.33,112.33,112.33,112.33
1980-02-09,112.32,112.32,112.32,112.32,112.32,112.32,112.32,112.32,112.32,112.32,112.32,112.32,112.32,112.32,112.32,112.32,112.32,112.32,112.32,112.32
1980-02-10,112.31,112.31,112.31,112.31,112.31,112.31,112.31,112.31,112.31,112.31,112.31,112.31,112.31,112.31,112.31,112.31,112.31,112.31,112.31,112.31
1980-02-11,112.30,112.30,112.30,112.30,112.30,112.30,112.30,112.30,112.30,112.30,112.30,112.30,112.30,112.30,112.30,112.30,112.30,112.30,112.30,112.30
1980-02-12,112.29,112.29,112.29,112.29,112.29,112.29,112.29,112.29,112.29,112.29,112.29,112.29,112.29,112.29,112.29,112.29,112.29,112.29,112.29,112.29
