date,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8,bin_9,bin_10,bin_11,bin_12,bin_13,bin_14,bin_15,bin_16,bin_17,bin_18,bin_19,bin_20
1980-01-22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,2.00,3.88,24.28,24.28,24.28,24.28,24.28
1980-01-23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.55,3.43,5.31,7.19,27.60,27.60,27.60,27.60,27.60
1980-01-24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,1.99,3.87,5.75,7.63,28.04,28.04,28.04,28.04,28.04
1980-01-25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,2.38,4.26,6.14,8.02,28.43,28.43,28.43,28.43,28.43
1980-01-26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.86,2.74,4.62,6.50,8.38,28.78,28.78,28.78,28.78,28.78
1980-01-27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.18,3.06,4.94,6.82,8.70,29.11,29.11,29.11,29.11,29.11
1980-01-28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.48,3.36,5.24,7.12,9.00,29.41,29.41,29.41,29.41,29.41
1980-01-29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.76,3.64,5.52,7.40,9.28,29.68,29.68,29.68,29.68,29.68
1980-01-30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,2.02,3.90,5.78,7.66,9.54,29.94,29.94,29.94,29.94,29.94
1980-01-31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.38,2.26,4.14,6.02,7.90,9.78,30.19,30.19,30.19,30.19,30.19
1980-02-01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.61,2.49,4.37,6.25,8.13,10.01,30.41,30.41,30.41,30.41,30.41
1980-02-02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.82,2.70,4.58,6.46,8.34,10.22,30.63,30.63,30.63,30.63,30.63
1980-02-03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.03,2.91,4.79,6.67,8.55,10.43,30.83,30.83,30.83,30.83,30.83
1980-02-04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.22,3.10,4.98,6.86,8.74,10.62,31.03,31.03,31.03,31.03,31.03
1980-02-05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.41,3.29,5.17,7.05,8.93,10.81,31.21,31.21,31.21,31.21,31.21
1980-02-06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.58,3.46,5.34,7.22,9.10,10.99,31.39,31.39,31.39,31.39,31.39
1980-02-07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.75,3.63,5.51,7.39,9.27,11.15,31.56,31.56,31.56,31.56,31.56
1980-02-08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,1.92,3.80,5.68,7.56,9.44,11.32,31.72,31.72,31.72,31.72,31.72
1980-02-09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.19,2.07,3.95,5.83,7.71,9.59,11.47,31.88,31.88,31.88,31.88,31.88
1980-02-10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.34,2.22,4.10,5.98,7.86,9.74,11.62,32.03,32.03,32.03,32.03,32.03
1980-02-11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.49,2.37,4.25,6.13,8.01,9.89,11.77,32.17,32.17,32.17,32.17,32.17
1980-02-12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.62,2.50,4.38,6.26,8.14,10.02,11.90,32.31,32.31,32.31,32.31,32.31
1980-02-13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.76,2.64,4.52,6.40,8.28,10.16,12.04,32.44,32.44,32.44,32.44,32.44
1980-02-14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.89,2.77,4.65,6.53,8.41,10.29,12.17,32.57,32.57,32.57,32.57,32.57
1980-02-15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.01,2.89,4.77,6.65,8.53,10.41,12.29,32.70,32.70,32.70,32.70,32.70
1980-02-16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.14,3.02,4.90,6.78,8.66,10.54,12.42,32.82,32.82,32.82,32.82,32.82
1980-02-17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.34,2.22,4.10,5.98,7.86,9.74,11.62,32.02,32.02,32.02,32.02,32.02
1980-02-18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.48,2.36,4.24,6.12,8.00,9.88,11.76,32.17,32.17,32.17,32.17,32.17
1980-02-19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.62,2.50,4.38,6.26,8.14,10.02,11.90,32.31,32.31,32.31,32.31,32.31
1980-02-20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.76,2.64,4.52,6.40,8.28,10.16,12.04,32.44,32.44,32.44,32.44,32.44
1980-02-21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.89,2.77,4.65,6.53,8.41,10.29,12.17,32.57,32.57,32.57,32.57,32.57
1980-02-22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.01,2.89,4.77,6.65,8.53,10.41,12.29,32.70,32.70,32.70,32.70,32.70
1980-02-23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,1.95,3.83,5.71,7.59,9.47,11.35,31.76,31.76,31.76,31.76,31.76
1980-02-24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.23,2.11,3.99,5.87,7.75,9.63,11.51,31.91,31.91,31.91,31.91,31.91
1980-02-25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.37,2.25,4.13,6.01,7.89,9.77,11.65,32.06,32.06,32.06,32.06,32.06
1980-02-26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.52,2.40,4.28,6.16,8.04,9.92,11.80,32.20,32.20,32.20,32.20,32.20
1980-02-27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.65,2.53,4.41,6.30,8.18,10.06,11.94,32.34,32.34,32.34,32.34,32.34
1980-02-28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.79,2.67,4.55,6.43,8.31,10.19,12.07,32.47,32.47,32.47,32.47,32.47
1980-02-29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.92,2.80,4.68,6.56,8.44,10.32,12.20,32.60,32.60,32.60,32.60,32.60
1980-03-01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.04,2.92,4.80,6.68,8.56,10.44,12.32,32.73,32.73,32.73,32.73,32.73
1980-03-02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.16,3.04,4.92,6.80,8.68,10.56,12.44,32.85,32.85,32.85,32.85,32.85
1980-03-03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.28,3.16,5.04,6.92,8.80,10.68,12.56,32.97,32.97,32.97,32.97,32.97
1980-03-04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.39,3.27,5.15,7.03,8.91,10.79,12.68,33.08,33.08,33.08,33.08,33.08
1980-03-05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.51,3.39,5.27,7.15,9.03,10.91,12.79,33.19,33.19,33.19,33.19,33.19
1980-03-06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.38,3.26,5.14,7.02,8.90,10.78,12.66,33.07,33.07,33.07,33.07,33.07
1980-03-07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.49,3.37,5.25,7.13,9.01,10.89,12.77,33.18,33.18,33.18,33.18,33.18
1980-03-08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.60,3.48,5.36,7.24,9.12,11.00,12.88,33.29,33.29,33.29,33.29,33.29
1980-03-09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.04,2.92,4.80,6.68,8.56,10.44,12.32,32.73,32.73,32.73,32.73,32.73
1980-03-10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.16,3.04,4.92,6.80,8.68,10.56,12.44,32.85,32.85,32.85,32.85,32.85
1980-03-11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,1.99,3.87,5.75,7.63,9.51,11.39,31.79,31.79,31.79,31.79,31.79
1980-03-12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,2.13,4.01,5.89,7.77,9.65,11.53,31.94,31.94,31.94,31.94,31.94
1980-03-13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,2.28,4.16,6.04,7.92,9.80,11.68,32.08,32.08,32.08,32.08,32.08
1980-03-14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.54,2.42,4.30,6.18,8.06,9.94,11.82,32.23,32.23,32.23,32.23,32.23
1980-03-15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.68,2.56,4.44,6.32,8.20,10.08,11.96,32.36,32.36,32.36,32.36,32.36
1980-03-16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.81,2.69,4.57,6.45,8.33,10.21,12.09,32.50,32.50,32.50,32.50,32.50
1980-03-17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.94,2.82,4.70,6.58,8.46,10.34,12.22,32.62,32.62,32.62,32.62,32.62
1980-03-18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.26,2.14,4.02,5.90,7.78,9.66,11.54,31.95,31.95,31.95,31.95,31.95
1980-03-19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.57,3.45,5.33,7.21,9.09,10.97,31.37,31.37,31.37,31.37,31.37
1980-03-20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.74,3.62,5.50,7.38,9.26,11.14,31.54,31.54,31.54,31.54,31.54
1980-03-21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.86,3.74,5.62,7.50,9.38,11.26,31.66,31.66,31.66,31.66,31.66
1980-03-22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,2.28,4.16,6.04,7.92,28.32,28.32,28.32,28.32,28.32
1980-03-23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.75,2.63,4.51,6.39,8.27,28.67,28.67,28.67,28.67,28.67
1980-03-24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.08,2.96,4.84,6.72,8.60,29.00,29.00,29.00,29.00,29.00
