date,precipitation (mm/day),temperature (celsius),flow_observed (mm/day)
1/1/1981 12:00,1,1,0
1/2/1981 12:00,0,0,0
1/3/1981 12:00,0,-0.5,0
1/4/1981 12:00,0,-4.5,0
1/5/1981 12:00,0,-9.5,0
1/6/1981 12:00,2,-4,0
1/7/1981 12:00,5,-1,0
1/8/1981 12:00,0,-6.5,0
1/9/1981 12:00,0,-7,0
1/10/1981 12:00,0,-7,0
1/11/1981 12:00,0,-7.5,0
1/12/1981 12:00,0,-8.5,0
1/13/1981 12:00,0,-4,0
1/14/1981 12:00,0,1,0
1/15/1981 12:00,0,0.5,0
1/16/1981 12:00,1,-1.5,0
1/17/1981 12:00,0,-5,0
1/18/1981 12:00,0,-2.5,0
1/19/1981 12:00,0,3,0
1/20/1981 12:00,0,5.5,0
1/21/1981 12:00,0,4.5,0
1/22/1981 12:00,0,2,0
1/23/1981 12:00,0,2,0
1/24/1981 12:00,0,5,0
1/25/1981 12:00,0,10.5,0
1/26/1981 12:00,0,13,0
1/27/1981 12:00,0,8,0
1/28/1981 12:00,0,4.5,0
1/29/1981 12:00,0,1.5,0
1/30/1981 12:00,0,-1,0
1/31/1981 12:00,0,-0.5,0
2/1/1981 12:00,14,3.5,0
2/2/1981 12:00,7,2.5,0
2/3/1981 12:00,0,-9.5,0
2/4/1981 12:00,0,-9,0
2/5/1981 12:00,0,-7,0
2/6/1981 12:00,1,-1.5,0
2/7/1981 12:00,0,2,0
2/8/1981 12:00,0,3,0
2/9/1981 12:00,0,-3,0
2/10/1981 12:00,9,4,0
2/11/1981 12:00,15,8,0
2/12/1981 12:00,1,-8,0
2/13/1981 12:00,0,-5,0
2/14/1981 12:00,0,3,0
2/15/1981 12:00,0,9,0
2/16/1981 12:00,5,11.5,0
2/17/1981 12:00,6,10,0
2/18/1981 12:00,0,12.5,0
2/19/1981 12:00,3,14,0
2/20/1981 12:00,7,11.5,0
2/21/1981 12:00,0,10.5,0
2/22/1981 12:00,0,11.5,0
2/23/1981 12:00,6,12.5,0
2/24/1981 12:00,2,6,0
2/25/1981 12:00,0,8,0
2/26/1981 12:00,0,9,0
2/27/1981 12:00,0,6.5,0
2/28/1981 12:00,0,14,0
3/1/1981 12:00,0,9.5,0
3/2/1981 12:00,0,4.5,0
3/3/1981 12:00,0,4.5,0
3/4/1981 12:00,3,4,0
3/5/1981 12:00,12,2.5,0
3/6/1981 12:00,0,3,0
3/7/1981 12:00,0,2.5,0
3/8/1981 12:00,0,2.5,0
